Descricao,Categoria,Tipo
SALARIO MENSAL - EMPRESA XYZ,Receita,credito
SALARIO JUNHO - EMPRESA ABC,Receita,credito
TRANSFERENCIA RECEBIDA JOAO SILVA,Receita,credito
TRANSFERENCIA DOC MARIA,Receita,credito
DEVOLUCAO COMPRA AMAZON,Reembolso,credito
VENDA OLX CELULAR,Receita,credito
VENDA MERCADO LIVRE,Receita,credito
FREELANCE SITE,Receita,credito
REEMBOLSO PLANO DE SAUDE,Reembolso,credito
DEPÓSITO CAIXA ELETRÔNICO,Receita,credito
DEPÓSITO TED BANCO ITAU,Receita,credito
PIX RECEBIDO ANA,Receita,credito
PIX RECEBIDO EMPRESA,Receita,credito
BONUS EMPRESA,Receita,credito
AJUDA FAMILIAR,Receita,credito
SUPERMERCADO CARREFOUR,Alimentação,debito
SUPERMERCADO EXTRA,Alimentação,debito
SUPERMERCADO PÃO DE AÇÚCAR,Alimentação,debito
SUPERMERCADO DIA,Alimentação,debito
SUPERMERCADO ASSAÍ,Alimentação,debito
PADARIA SANTA CLARA,Alimentação,debito
PADARIA PÃO QUENTE,Alimentação,debito
RESTAURANTE PIZZA HUT,Alimentação,debito
RESTAURANTE OUTBACK,Alimentação,debito
RESTAURANTE MCDONALDS,Alimentação,debito
RESTAURANTE BURGER KING,Alimentação,debito
IFOOD DELIVERY,Alimentação,debito
UBER VIAGEM,Transporte,debito
UBER CORRIDA,Transporte,debito
99 VIAGEM,Transporte,debito
99 CORRIDA,Transporte,debito
METRÔ SÃO PAULO,Transporte,debito
METRÔ LINHA AZUL,Transporte,debito
ÔNIBUS SPTRANS,Transporte,debito
ÔNIBUS URBANO,Transporte,debito
COMBUSTIVEL POSTO SHELL,Transporte,debito
COMBUSTIVEL POSTO IPIRANGA,Transporte,debito
ESTACIONAMENTO SHOPPING,Transporte,debito
ESTACIONAMENTO AEROPORTO,Transporte,debito
PAGAMENTO NETFLIX,Assinaturas,debito
PAGAMENTO SPOTIFY,Assinaturas,debito
PAGAMENTO AMAZON PRIME,Assinaturas,debito
PAGAMENTO DISNEY PLUS,Assinaturas,debito
PAGAMENTO HBO MAX,Assinaturas,debito
PAGAMENTO GLOBO PLAY,Assinaturas,debito
PAGAMENTO REVISTA VEJA,Assinaturas,debito
PAGAMENTO CLUBE LIVRO,Assinaturas,debito
PAGAMENTO APPLE MUSIC,Assinaturas,debito
PAGAMENTO YOUTUBE PREMIUM,Assinaturas,debito
FARMACIA DROGASIL,Saúde,debito
FARMACIA RAIA,Saúde,debito
FARMACIA SÃO PAULO,Saúde,debito
CONSULTA DENTISTA,Saúde,debito
CONSULTA MEDICA,Saúde,debito
EXAME LABORATORIO,Saúde,debito
HOSPITAL SANTA CASA,Saúde,debito
PLANO DE SAUDE UNIMED,Saúde,debito
PLANO DE SAUDE BRADESCO,Saúde,debito
VACINA CLINICA,Saúde,debito
ALUGUEL APARTAMENTO,Moradia,debito
ALUGUEL CASA,Moradia,debito
PAGAMENTO CONDOMINIO,Moradia,debito
CONTA DE LUZ ENEL,Moradia,debito
CONTA DE AGUA SABESP,Moradia,debito
